seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF
1	1	0	0.300	0.000137	0.012347	0.012347	0.900807	8.480836e+10	2.841184
1	2	0	0.300	0.000546	0.020275	0.020450	0.819980	1.645501e+11	4.220552
1	3	0	0.300	0.001064	0.024176	0.024351	0.738567	2.446886e+11	4.723112
1	4	0	0.300	0.001464	0.024181	0.024323	0.683833	3.264417e+11	4.534538
1	5	0	0.300	0.001993	0.026926	0.027074	0.608277	4.048678e+11	4.827854
1	6	0	0.300	0.002524	0.029493	0.029653	0.539219	4.807596e+11	5.126775
1	7	0	0.300	0.002868	0.029466	0.029647	0.492307	5.610531e+11	4.920392
1	8	0	0.300	0.003237	0.030120	0.030330	0.443844	6.429680e+11	4.807660
1	9	0	0.300	0.003516	0.029971	0.030218	0.407352	7.247744e+11	4.612583
1	10	0	0.300	0.003994	0.032660	0.032946	0.347955	7.965731e+11	4.866624
1	11	0	0.300	0.004212	0.032326	0.032702	0.320358	8.789994e+11	4.652449
1	12	0	0.300	0.004400	0.032040	0.032460	0.294861	9.569449e+11	4.462155
1	13	0	0.300	0.004808	0.034492	0.034943	0.247178	1.030606e+12	4.556963
1	14	0	0.300	0.005322	0.038491	0.039044	0.187936	1.092725e+12	4.764511
1	15	0	0.300	0.005759	0.042688	0.043340	0.141077	1.157204e+12	5.024756
1	16	0	0.300	0.006064	0.045623	0.046383	0.109407	1.223172e+12	5.064316
1	17	0	0.300	0.006490	0.051958	0.052989	0.068377	1.274335e+12	5.409250
1	18	0	0.300	0.006805	0.058449	0.059673	0.042132	1.323619e+12	5.791443
1	19	0	0.300	0.006992	0.063927	0.065455	0.025107	1.375051e+12	5.953477
1	20	0	0.300	0.007202	0.074153	0.076168	0.010293	1.406144e+12	6.727301
1	21	0	0.300	0.007337	0.083257	0.085531	0.004181	1.440847e+12	7.373392
1	22	0	0.300	0.007418	0.095408	0.098178	0.001095	1.461287e+12	8.342927
1	23	0	0.300	0.007489	0.108714	0.111677	0.000130	1.475234e+12	9.145616
1	24	0	0.300	0.007499	0.118010	0.121398	0.000036	1.503571e+12	9.430350
1	25	0	0.300	0.007480	0.124334	0.128330	0.000019	1.540888e+12	9.316309
1	26	0	0.300	0.007524	0.138743	0.142567	0.000010	1.549860e+12	9.795791
1	27	0	0.300	0.007562	0.154664	0.159059	0.000010	1.551247e+12	10.488993
1	28	0	0.300	0.007597	0.169975	0.174246	0.000010	1.554324e+12	10.773315
1	29	0	0.300	0.007574	0.179232	0.184124	0.000010	1.576118e+12	10.460216
1	30	0	0.300	0.007591	0.190938	0.196375	0.000010	1.589142e+12	10.794134
1	31	0	0.300	0.007570	0.201587	0.206668	0.000010	1.605513e+12	10.567606
1	32	0	0.300	0.007543	0.211165	0.217772	0.000010	1.618765e+12	10.252985
1	33	0	0.300	0.007567	0.227705	0.236234	0.000010	1.616691e+12	10.381734
1	34	0	0.300	0.007584	0.233187	0.245186	0.000010	1.613176e+12	10.647959
1	35	0	0.300	0.007599	0.249786	0.329442	0.000010	1.616856e+12	10.683125
1	40	0	0.300	0.007605	0.324496	0.422936	0.000010	1.607802e+12	10.645022
2	1	0	0.300	0.000137	0.016551	0.016551	0.888111	8.461259e+10	3.649055
2	2	0	0.300	0.000468	0.017171	0.017171	0.836692	1.691052e+11	3.650255
2	3	0	0.300	0.000959	0.021822	0.021921	0.755531	2.488668e+11	4.326068
2	4	0	0.300	0.001354	0.022383	0.022453	0.699434	3.320761e+11	4.252220
2	5	0	0.300	0.001703	0.022490	0.022561	0.650393	4.128278e+11	4.120066
2	6	0	0.300	0.001938	0.021382	0.021512	0.619956	4.965478e+11	3.823749
2	7	0	0.300	0.002445	0.024245	0.024411	0.548197	5.730734e+11	4.168184
2	8	0	0.300	0.002795	0.025074	0.025237	0.499902	6.540625e+11	4.123964
2	9	0	0.300	0.003152	0.026060	0.026229	0.451117	7.348556e+11	4.093278
2	10	0	0.300	0.003659	0.028800	0.029017	0.388219	8.072130e+11	4.352040
2	11	0	0.300	0.003859	0.028528	0.028784	0.360164	8.881957e+11	4.176870
2	12	0	0.300	0.004199	0.029921	0.030199	0.316320	9.649463e+11	4.173087
2	13	0	0.300	0.004753	0.033607	0.033974	0.250179	1.030817e+12	4.361423
2	14	0	0.300	0.005294	0.038138	0.038629	0.187574	1.096464e+12	4.592937
2	15	0	0.300	0.005604	0.040493	0.041056	0.151993	1.164475e+12	4.590140
2	16	0	0.300	0.006098	0.046328	0.047113	0.100539	1.221224e+12	4.875684
2	17	0	0.300	0.006377	0.050324	0.051303	0.071016	1.285021e+12	4.951176
2	18	0	0.300	0.006615	0.054798	0.056049	0.047397	1.340790e+12	5.033041
2	19	0	0.300	0.006812	0.060286	0.061808	0.028508	1.391560e+12	5.166777
2	20	0	0.300	0.006940	0.064932	0.067018	0.016296	1.446673e+12	5.242837
2	21	0	0.300	0.007024	0.070044	0.072842	0.009167	1.495732e+12	5.347380
2	22	0	0.300	0.007154	0.082245	0.086300	0.002043	1.514983e+12	6.090351
2	23	0	0.300	0.007185	0.088813	0.094072	0.000721	1.556062e+12	6.283706
2	24	0	0.300	0.007273	0.100181	0.106110	0.000159	1.576214e+12	7.047690
2	25	0	0.300	0.007350	0.113803	0.120383	0.000019	1.586453e+12	7.875629
2	26	0	0.300	0.007401	0.122729	0.130810	0.000018	1.610083e+12	8.453991
2	27	0	0.300	0.007471	0.137468	0.145797	0.000012	1.617771e+12	9.497234
2	28	0	0.300	0.007533	0.151461	0.159722	0.000012	1.622336e+12	10.384252
2	29	0	0.300	0.007584	0.164370	0.171570	0.000011	1.629033e+12	10.875532
2	30	0	0.300	0.007623	0.178342	0.185571	0.000011	1.633924e+12	11.235479
2	31	0	0.300	0.007652	0.192096	0.202016	0.000011	1.640509e+12	11.509943
2	32	0	0.300	0.007653	0.202088	0.212913	0.000011	1.659395e+12	11.308013
2	34	0	0.300	0.007685	0.228236	0.241104	0.000011	1.663828e+12	11.504270
2	35	0	0.300	0.007660	0.234408	0.254469	0.000011	1.678068e+12	11.001931
2	36	0	0.300	0.007646	0.236980	0.255787	0.000011	1.685695e+12	10.669355
2	38	0	0.300	0.007673	0.265186	0.364453	0.000011	1.692017e+12	11.439633
3	1	0	0.300	0.000137	0.009929	0.009929	0.908105	8.583082e+10	2.381360
3	2	0	0.300	0.000522	0.019082	0.019332	0.825923	1.671683e+11	4.011486
3	3	0	0.300	0.000772	0.016612	0.016839	0.794955	2.519930e+11	3.453819
3	4	0	0.300	0.001271	0.020692	0.020975	0.717400	3.312755e+11	4.081080
3	5	0	0.300	0.001604	0.021014	0.021260	0.668885	4.130286e+11	3.992008
3	6	0	0.300	0.001946	0.021641	0.021859	0.620088	4.945716e+11	3.948208
3	7	0	0.300	0.002202	0.021443	0.021648	0.582630	5.770989e+11	3.797437
3	8	0	0.300	0.002780	0.024634	0.024913	0.505179	6.551019e+11	4.076724
3	9	0	0.300	0.003337	0.027755	0.028078	0.429830	7.294054e+11	4.308734
3	10	0	0.300	0.003830	0.030602	0.031004	0.365373	8.011617e+11	4.522830
3	11	0	0.300	0.004337	0.033594	0.034035	0.305514	8.726708e+11	4.741151
3	12	0	0.300	0.004815	0.036791	0.037262	0.249453	9.421637e+11	4.970188
3	13	0	0.300	0.005093	0.037772	0.038345	0.215359	1.018172e+12	4.869911
3	14	0	0.300	0.005519	0.041299	0.041909	0.170460	1.084754e+12	5.147199
3	15	0	0.300	0.005888	0.044578	0.045255	0.131701	1.151714e+12	5.258989
3	16	0	0.300	0.006121	0.046566	0.047374	0.105693	1.219878e+12	5.205875
3	17	0	0.300	0.006435	0.050830	0.051757	0.074862	1.278396e+12	5.356788
3	18	0	0.300	0.006576	0.052547	0.053699	0.059059	1.349173e+12	5.276314
3	19	0	0.300	0.006690	0.054158	0.055576	0.045390	1.414194e+12	5.184496
3	20	0	0.300	0.006890	0.060335	0.062133	0.027048	1.465654e+12	5.323447
3	21	0	0.300	0.007083	0.068041	0.070285	0.012943	1.505488e+12	5.623943
3	22	0	0.300	0.007212	0.077053	0.079842	0.005429	1.535782e+12	5.973782
3	23	0	0.300	0.007259	0.084633	0.088218	0.001840	1.571230e+12	6.107356
3	24	0	0.300	0.007336	0.099340	0.104199	0.000179	1.578359e+12	6.864076
3	25	0	0.300	0.007355	0.111632	0.117711	0.000035	1.593884e+12	7.204450
3	26	0	0.300	0.007402	0.127510	0.133679	0.000018	1.591337e+12	7.766270
3	27	0	0.300	0.007442	0.139265	0.146282	0.000011	1.607853e+12	8.332236
3	28	0	0.300	0.007486	0.156613	0.163784	0.000011	1.599572e+12	9.007015
3	29	0	0.300	0.007521	0.174473	0.181976	0.000011	1.594440e+12	9.807730
3	30	0	0.300	0.007537	0.187066	0.194838	0.000011	1.600900e+12	10.060090
3	31	0	0.300	0.007513	0.197518	0.207241	0.000011	1.622764e+12	9.770167
3	32	0	0.300	0.007532	0.212264	0.221958	0.000011	1.622280e+12	10.081283
3	33	0	0.300	0.007556	0.222378	0.242863	0.000011	1.625278e+12	10.206739
3	34	0	0.300	0.007578	0.232818	0.261415	0.000011	1.610753e+12	10.611405
3	35	0	0.300	0.007599	0.250188	0.322015	0.000011	1.603301e+12	11.041106
3	37	0	0.300	0.007636	0.275289	0.294318	0.000011	1.580153e+12	11.455598
