seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
1	1	0	0.300	0.000137	0.012347	0.012347	0.900807	8.480836e+10	2.841184	0.647210
1	2	0	0.300	0.000542	0.020361	0.020543	0.820708	1.639692e+11	4.201836	0.763454
1	3	0	0.300	0.001054	0.024749	0.024909	0.742577	2.436452e+11	4.924970	0.812223
1	4	0	0.300	0.001444	0.025249	0.025392	0.689022	3.252468e+11	4.883295	0.810506
1	5	0	0.300	0.001960	0.028119	0.028255	0.617902	4.024249e+11	5.194289	0.827834
1	6	0	0.300	0.002461	0.030821	0.030937	0.551731	4.788680e+11	5.591781	0.847127
1	7	0	0.300	0.002811	0.031540	0.031665	0.508024	5.573233e+11	5.558958	0.843152
1	8	0	0.300	0.003155	0.032793	0.032911	0.464131	6.371912e+11	5.619534	0.843620
1	9	0	0.300	0.003418	0.033066	0.033231	0.430374	7.162356e+11	5.484294	0.829691
1	10	0	0.300	0.003864	0.036047	0.036209	0.376155	7.879961e+11	5.840716	0.843762
1	11	0	0.300	0.004056	0.036097	0.036342	0.351762	8.656935e+11	5.650808	0.824255
1	12	0	0.300	0.004242	0.036425	0.036698	0.325969	9.446814e+11	5.489139	0.808840
1	13	0	0.300	0.004587	0.039296	0.039571	0.285519	1.013641e+12	5.868439	0.822012
1	14	0	0.300	0.005026	0.043771	0.044128	0.237359	1.076789e+12	6.436244	0.838158
1	15	0	0.300	0.005393	0.047999	0.048371	0.197556	1.137737e+12	6.876023	0.847862
1	16	0	0.300	0.005653	0.050950	0.051367	0.170082	1.202470e+12	7.238109	0.854431
1	17	0	0.300	0.005998	0.056583	0.057067	0.136144	1.258840e+12	7.962743	0.867043
1	18	0	0.300	0.006286	0.061784	0.062328	0.108308	1.311131e+12	8.640033	0.877695
1	19	0	0.300	0.006503	0.065983	0.066549	0.088620	1.369684e+12	9.300441	0.886640
1	20	0	0.300	0.006733	0.072447	0.073116	0.067396	1.411497e+12	10.161003	0.896746
1	21	0	0.300	0.006924	0.078594	0.079305	0.051394	1.459412e+12	11.130282	0.907226
1	22	0	0.300	0.007106	0.085432	0.086221	0.036540	1.498147e+12	12.134014	0.915757
1	23	0	0.300	0.007233	0.093104	0.093987	0.026317	1.536201e+12	13.356226	0.923115
1	24	0	0.300	0.007316	0.097835	0.098804	0.020948	1.581252e+12	13.911097	0.926750
1	25	0	0.300	0.007334	0.101336	0.102498	0.017042	1.628227e+12	13.865596	0.915712
1	26	0	0.300	0.007411	0.109242	0.110525	0.011743	1.667124e+12	15.128137	0.922852
1	27	0	0.300	0.007485	0.117777	0.119189	0.007504	1.693147e+12	16.407479	0.930204
1	28	0	0.300	0.007524	0.124474	0.125979	0.005310	1.723504e+12	17.277907	0.933015
1	29	0	0.300	0.007514	0.129745	0.131469	0.003947	1.762893e+12	17.226496	0.922339
1	30	0	0.300	0.007537	0.136981	0.138885	0.002827	1.794309e+12	17.669592	0.919952
1	31	0	0.300	0.007520	0.142688	0.144826	0.002092	1.829195e+12	17.608836	0.909817
1	32	0	0.300	0.007500	0.149108	0.151452	0.001412	1.862212e+12	17.535034	0.900123
1	33	0	0.300	0.007515	0.157439	0.159982	0.000888	1.882952e+12	18.379070	0.900899
1	34	0	0.300	0.007529	0.165590	0.168305	0.000491	1.903904e+12	18.797552	0.902106
1	35	0	0.300	0.007539	0.174467	0.177331	0.000370	1.919828e+12	19.443808	0.903075
1	36	0	0.300	0.007546	0.183636	0.186708	0.000241	1.937436e+12	19.954486	0.903941
1	37	0	0.300	0.007523	0.190910	0.194302	0.000159	1.961802e+12	19.808093	0.893670
1	38	0	0.300	0.007495	0.198390	0.202041	0.000118	1.984564e+12	19.599731	0.884320
1	39	0	0.300	0.007503	0.208265	0.211912	0.000052	1.993698e+12	20.178668	0.885210
1	40	0	0.300	0.007504	0.219782	0.223437	0.000032	1.996425e+12	21.051872	0.886393
2	1	0	0.300	0.000137	0.016551	0.016551	0.888111	8.461259e+10	3.649055	0.753796
2	2	0	0.300	0.000468	0.017551	0.017551	0.836750	1.686361e+11	3.757870	0.756547
2	3	0	0.300	0.000960	0.022700	0.022769	0.757178	2.488111e+11	4.608600	0.808887
2	4	0	0.300	0.001352	0.023630	0.023682	0.703621	3.298528e+11	4.648493	0.810528
2	5	0	0.300	0.001703	0.024490	0.024532	0.654526	4.112865e+11	4.670819	0.808714
2	6	0	0.300	0.001914	0.023346	0.023436	0.625613	4.928423e+11	4.303334	0.769051
2	7	0	0.300	0.002427	0.026550	0.026648	0.558362	5.684572e+11	4.706874	0.793672
